Provincia,Unnamed: 1,Localidad,ADSL,CABLEMODEM,Unnamed: 5,FIBRAOPTICA,4G,3G,Unnamed: 9,WIRELESS,Unnamed: 11
ENTRE RIOS,Colón,0,--,--,--,0,SI,--,--,0,--
0,Malvinas Argentinas,Ingeniero Pablo Nogués,0,0,SI,SI,0,0,SI,SI,--
BUENOS AIRES,Malvinas Argentinas,Los Polvorines,0,SI,SI,SI,0,SI,SI,SI,0
0,Malvinas Argentinas,Malvinas Argentinas,0,SI,--,SI,0,--,--,0,--
0,Malvinas Argentinas,Tortuguitas,SI,0,--,SI,SI,0,SI,--,--
BUENOS AIRES,Malvinas Argentinas,0,SI,SI,SI,0,SI,SI,SI,SI,0
BUENOS AIRES,0,Atlantida,--,--,0,--,SI,SI,0,--,0
0,Mar Chiquita,Camet Norte,--,0,--,--,SI,0,--,--,--
0,Mar Chiquita,Coronel Vidal,0,0,--,SI,0,0,SI,0,--
BUENOS AIRES,Mar Chiquita,0,--,--,--,0,SI,SI,--,--,--
BUENOS AIRES,0,0,SI,SI,0,0,SI,SI,0,SI,0
BUENOS AIRES,San Nicolás,Campos Salles,0,--,--,--,0,--,--,--,--
0,San Nicolás,Conesa,0,0,--,--,0,0,SI,0,SI
0,San Nicolás,Erézcano,--,0,--,--,--,0,--,SI,0
BUENOS AIRES,San Nicolás,General Rojo,0,--,--,SI,0,SI,SI,--,SI
BUENOS AIRES,0,La Emilia,--,--,0,--,SI,SI,0,0,--
BUENOS AIRES,0,0,SI,SI,SI,0,SI,SI,SI,SI,SI
0,San Nicolás,Villa Campi,0,0,--,--,0,0,--,--,0
0,San Nicolás,Villa Canto,--,0,--,--,SI,0,--,--,0
0,San Nicolás,Villa Esperanza,--,0,--,--,--,0,--,--,--
BUENOS AIRES,San Nicolás,Villa Riccio,0,--,--,--,0,--,--,0,--
BUENOS AIRES,0,0,--,--,0,0,SI,SI,0,--,--
BUENOS AIRES,San Pedro,0,--,--,--,0,--,--,--,--,0
BUENOS AIRES,0,0,--,--,0,0,SI,--,0,0,--
BUENOS AIRES,0,Pueblo Doyle,--,--,0,--,--,--,0,--,--
0,San Pedro,Río Tala,0,0,--,SI,0,0,--,--,0
0,San Pedro,San Pedro,SI,0,--,SI,SI,0,SI,SI,SI
BUENOS AIRES,0,Santa Lucía,--,--,0,SI,SI,SI,0,0,SI
BUENOS AIRES,0,0,SI,SI,0,0,SI,SI,SI,0,--
BUENOS AIRES,San Vicente,Domselaar,0,SI,--,--,0,SI,SI,SI,0
0,San Vicente,San Vicente,0,0,SI,SI,0,0,SI,SI,0
BUENOS AIRES,Suipacha,0,SI,--,--,0,SI,--,SI,SI,--
BUENOS AIRES,0,Suipacha,SI,--,0,SI,SI,SI,0,0,--
BUENOS AIRES,0,De la Canal,--,--,0,--,--,--,0,SI,0
CABA,0,0,SI,SI,0,0,SI,SI,0,SI,SI
0,Gaiman,Gaiman,SI,0,SI,SI,SI,0,SI,0,SI
0,Gastre,Blancuntre,0,0,--,--,0,0,SI,0,SI
CHUBUT,Gastre,0,--,--,--,0,--,--,0,--,SI
CHUBUT,0,Gastre,--,--,0,--,SI,--,0,SI,0
CHUBUT,Gastre,0,--,--,--,0,--,--,SI,0,SI
CHUBUT,0,Yala Laubat,--,--,0,--,--,--,0,0,SI
CHUBUT,Languiñeo,Aldea Epulef,0,--,--,--,0,--,SI,SI,0
0,Languiñeo,Carrenleufú,0,0,--,--,0,0,SI,--,SI
0,Colón,Hocker,--,0,--,--,SI,0,--,0,--
0,COMUNA 10,MONTE CASTRO,0,0,SI,SI,0,0,SI,0,SI
CORDOBA,0,Coronel Moldes,SI,--,0,--,SI,SI,0,--,0
CORDOBA,0,0,SI,--,0,0,SI,SI,0,SI,0
0,Río Cuarto,La Carolina,0,0,--,--,0,SI,SI,0,SI
0,Río Cuarto,La Cautiva,--,0,--,--,SI,0,SI,--,--
CORDOBA,0,La Gilda,--,--,0,0,--,--,0,--,0
CORDOBA,Río Cuarto,0,SI,--,--,0,SI,SI,SI,--,--
0,COMUNA 13,BELGRANO,SI,0,SI,SI,SI,0,SI,0,SI
CHUBUT,Languiñeo,Colan Conhue,0,--,--,--,0,--,SI,SI,SI
0,Languiñeo,Paso del Sapo,0,0,--,--,0,0,SI,SI,SI
0,Languiñeo,Tecka,--,0,--,--,--,0,SI,--,0
CHUBUT,0,0,--,--,0,0,--,--,0,--,SI
CHUBUT,0,Las Plumas,--,--,0,--,--,--,0,0,SI
0,Paso de Indios,Cerro Cóndor,--,0,--,--,--,0,SI,--,0
CHUBUT,Paso de Indios,Los Altares,0,--,--,--,0,0,SI,SI,0
CHUBUT,Paso de Indios,Paso de Indios,0,--,--,--,0,--,SI,0,SI
0,Rawson,Playa Magagna,0,0,--,--,0,0,--,SI,--
BUENOS AIRES,Bragado,0,SI,SI,SI,0,SI,SI,SI,SI,0
BUENOS AIRES,0,0,--,--,0,0,SI,SI,0,SI,--
BUENOS AIRES,0,General O'Brien,SI,--,0,SI,SI,SI,0,SI,--
BUENOS AIRES,Bragado,0,--,SI,0,0,SI,--,SI,0,--
