Provincia,Partido,,Poblacion,ADSL,CABLEMODEM,,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,,Latitud,Longitud
,Benito Juárez,Benito Juárez (Est. Juárez),,SI,--,SI,,SI,SI,SI,SI,,6084020,"-37,6766410210105","-59,8057677109444"
BUENOS AIRES,,,138,--,,,SI,--,,,--,--,,,"-59,6278461536299"
BUENOS AIRES,,Tedín Uriburu,157,--,,--,--,--,,,SI,SI,6084040,,"-59,7630391604187"
,Benito Juárez,Villa Cacique (Est. Alfredo Fortabat),,,--,--,,,SI,--,,,6084050,"-37,6704778893557",
BUENOS AIRES,Berazategui,Berazategui,,SI,SI,SI,,SI,SI,SI,,SI,6091010,"-34,7597493264937",
BUENOS AIRES,,,87792,SI,,,SI,--,,SI,SI,SI,,"-34,7804201858899","-58,2415010261207"
BUENOS AIRES,Berazategui,,11695,SI,SI,,SI,--,--,,SI,SI,6091010,,"-58,2188212494897"
BUENOS AIRES,,,7847,SI,,,--,--,SI,SI,,SI,6091010,"-34,9067557072114",
CORDOBA,,Sarmiento,1288,SI,,--,--,--,,SI,,,14168090,"-30,7741941000543","-64,1089868115808"
CORDOBA,Totoral,Simbolar,,--,--,--,,--,--,,--,--,14168100,,"-63,9850395218446"
,Berazategui,Guillermo E. Hudson,49458,,SI,SI,SI,,--,,SI,SI,,,"-58,1439692638183"
BUENOS AIRES,,Juan María Gutierrez,14868,SI,,SI,SI,--,,SI,SI,,6091010,"-34,8348420760566","-58,1819061125702"
BUENOS AIRES,,,1291,SI,,,SI,--,,SI,,SI,6091010,"-34,8471945391094",
BUENOS AIRES,,Plátanos,17961,--,,--,SI,--,,,SI,SI,6091010,,"-58,1652686003148"
BUENOS AIRES,Berazategui,,17183,SI,,,SI,SI,--,,SI,SI,,,"-58,1989815634425"
,Berazategui,Villa España,15205,,SI,--,SI,,--,SI,,SI,6091010,"-34,776063416904",
BUENOS AIRES,Berisso,Barrio Banco Provincia,,--,--,--,,,--,--,,,6098010,"-34,8752589900973",
BUENOS AIRES,Berisso,Barrio El Carmen (Este),,--,--,--,,--,SI,,SI,SI,,,"-57,8853552505795"
,Berisso,Barrio Universitario,,,--,--,,,--,,SI,SI,6098010,,"-57,9270884333304"
ENTRE RIOS,Colón,,0,--,--,,--,SI,--,--,SI,,30008100,"-32,1819017485871","-58,1918561863469"
ENTRE RIOS,,,58,--,,,--,--,,--,,--,30008040,"-31,9629513486876",
,General Pinto,General Pinto,6557,,--,SI,--,,--,,SI,SI,,,"-61,8900674920122"
BUENOS AIRES,General Pinto,Germania (Est. Mayor José Orellano),,SI,--,--,,--,--,--,SI,SI,,"-34,576111833277","-62,0518306894073"
BUENOS AIRES,General Pinto,,23,--,--,,--,--,,--,,,6351035,"-34,5994995308259",
BUENOS AIRES,,Villa Francia (Est. Coronel Granada),1176,--,,--,SI,SI,,SI,--,,6351040,"-34,7913160212074","-62,2011090686366"
