AÃ±o,Trimestre,Provincia,Mbps (Media de bajada),Unnamed: 4,Unnamed: 5
2016,4,TierraDelFuego,3,00,00
2016,4,TucumÃ¡n,6,00,00
2016,3,BuenosAires,6,00,00
2016,3,CapitalFederal,7,00,00
2016,3,Catamarca,5,00,00
2016,3,Chaco,7,00,00
2016,3,Chubut,3,00,00
2016,3,CÃ³rdoba,6,00,00
2016,3,Corrientes,6,00,00
2016,3,EntreRÃ­os,6,00,00
2016,3,Formosa,5,00,00
2016,3,Jujuy,4,00,00
2016,3,LaPampa,3,00,00
2016,3,LaRioja,5,00,00
2016,3,Mendoza,4,00,00
2016,3,Misiones,7,00,00
2016,3,NeuquÃ©n,5,00,00
2016,3,RÃ­oNegro,4,00,00
2016,3,Salta,5,00,00
2016,3,SanJuan,3,00,00
2016,3,SanLuis,4,00,00
2016,3,SantaCruz,4,00,00
2016,3,SantaFe,6,00,00
2016,3,SantiagoDelEstero,5,00,00
2016,3,TierraDelFuego,3,00,00
2016,3,TucumÃ¡n,6,00,00
2016,2,BuenosAires,5,00,00
2016,2,CapitalFederal,7,00,00
2016,2,Catamarca,4,00,00
2016,2,Chaco,6,00,00
2016,2,Chubut,3,00,00
2016,2,CÃ³rdoba,6,00,00
2016,2,Corrientes,6,00,00
2016,2,EntreRÃ­os,5,00,00
2016,2,Formosa,5,00,00
2016,2,Jujuy,4,00,00
2016,2,LaPampa,3,00,00
2016,2,LaRioja,5,00,00
2016,2,Mendoza,4,00,00
2016,2,Misiones,6,00,00
2016,2,NeuquÃ©n,5,00,00
2016,2,RÃ­oNegro,4,00,00
2016,2,Salta,5,00,00
2016,2,SanJuan,3,00,00
2016,2,SanLuis,4,00,00
2016,2,SantaCruz,4,00,00
2016,2,SantaFe,5,00,00
2016,2,SantiagoDelEstero,4,00,00
2016,2,TierraDelFuego,3,00,00
2016,2,TucumÃ¡n,5,00,00
2016,1,BuenosAires,5,00,00
2016,1,CapitalFederal,6,00,00
2016,1,Catamarca,4,00,00
2016,1,Chaco,6,00,00
2016,1,Chubut,3,00,00
2016,1,CÃ³rdoba,5,00,00
2016,1,Corrientes,5,00,00
2016,1,EntreRÃ­os,5,00,00
2016,1,Formosa,5,00,00
2016,1,Jujuy,4,00,00
2016,1,LaPampa,3,00,00
2016,1,LaRioja,5,00,00
2016,1,Mendoza,4,00,00
2016,1,Misiones,6,00,00
2016,1,NeuquÃ©n,4,00,00
2016,1,RÃ­oNegro,4,00,00
2016,1,Salta,5,00,00
2016,1,SanJuan,3,00,00
2016,1,SanLuis,4,00,00
2016,1,SantaCruz,3,00,00
2016,1,SantaFe,5,00,00
2016,1,SantiagoDelEstero,4,00,00
2016,1,TierraDelFuego,3,00,00
2016,1,TucumÃ¡n,5,00,00
2015,4,BuenosAires,5,00,00
2015,4,CapitalFederal,6,00,00
2015,4,Catamarca,4,00,00
2015,4,Chaco,6,00,00
2015,4,Chubut,3,00,00
2015,4,CÃ³rdoba,5,00,00
2015,4,Corrientes,5,00,00
2015,4,EntreRÃ­os,5,00,00
2015,4,Formosa,5,00,00
2015,4,Jujuy,4,00,00
2015,4,LaPampa,3,00,00
2015,4,LaRioja,5,00,00
2015,4,Mendoza,4,00,00
2015,4,Misiones,6,00,00
2015,4,NeuquÃ©n,4,00,00
2015,4,RÃ­oNegro,4,00,00
2015,4,Salta,5,00,00
2015,4,SanJuan,3,00,00
2015,4,SanLuis,4,00,00
2015,4,SantaCruz,3,00,00
2015,4,SantaFe,5,00,00
2015,4,SantiagoDelEstero,4,00,00
2015,4,TierraDelFuego,3,00,00
2015,4,TucumÃ¡n,5,00,00
2015,3,BuenosAires,5,00,00
2015,3,CapitalFederal,6,00,00
2015,3,Catamarca,4,00,00
2015,3,Chaco,5,00,00
2015,3,Chubut,3,00,00
2015,3,CÃ³rdoba,5,00,00
2015,3,Corrientes,5,00,00
2015,3,EntreRÃ­os,5,00,00
2015,3,Formosa,4,00,00
2015,3,Jujuy,4,00,00
2015,3,LaPampa,3,00,00
2015,3,LaRioja,4,00,00
2015,3,Mendoza,4,00,00
2015,3,Misiones,6,00,00
2015,3,NeuquÃ©n,4,00,00
2015,3,RÃ­oNegro,4,00,00
2015,3,Salta,4,00,00
2015,3,SanJuan,3,00,00
2015,3,SanLuis,4,00,00
2015,3,SantaCruz,3,00,00
2015,3,SantaFe,5,00,00
2015,3,SantiagoDelEstero,4,00,00
2015,3,TierraDelFuego,3,00,00
2015,3,TucumÃ¡n,5,00,00
2015,2,BuenosAires,4,00,00
2015,2,CapitalFederal,5,00,00
2015,2,Catamarca,4,00,00
2015,2,Chaco,5,00,00
2015,2,Chubut,3,00,00
2015,2,CÃ³rdoba,5,00,00
2015,2,Corrientes,5,00,00
2015,2,EntreRÃ­os,5,00,00
2015,2,Formosa,4,00,00
2015,2,Jujuy,3,00,00
2015,2,LaPampa,3,00,00
2015,2,LaRioja,4,00,00
2015,2,Mendoza,4,00,00
