,Año,Trimestre,Provincia,Mbps (Media de bajada),Unnamed: 4,Unnamed: 5
361,2018,4,Capital Federal,23,0,0
362,2018,4,Catamarca,8,0,0
363,2018,4,Chaco,13,0,0
364,2018,4,Chubut,6,0,0
365,2018,4,Córdoba,16,0,0
366,2018,4,Corrientes,12,0,0
367,2018,4,Entre Ríos,11,0,0
368,2018,4,Formosa,10,0,0
369,2018,4,Jujuy,9,0,0
370,2018,4,La Pampa,4,0,0
371,2018,4,La Rioja,7,0,0
372,2018,4,Mendoza,6,0,0
373,2018,4,Misiones,12,0,0
374,2018,4,Neuquén,16,0,0
375,2018,4,Río Negro,10,0,0
376,2018,4,Salta,10,0,0
377,2018,4,San Juan,6,0,0
378,2018,4,San Luis,9,0,0
379,2018,4,Santa Cruz,5,0,0
380,2018,4,Santa Fe,13,0,0
381,2018,4,Santiago Del Estero,6,0,0
382,2018,4,Tierra Del Fuego,7,0,0
383,2018,4,Tucumán,17,0,0
384,2018,3,Buenos Aires,17,0,0
385,2018,3,Capital Federal,22,0,0
386,2018,3,Catamarca,8,0,0
387,2018,3,Chaco,13,0,0
388,2018,3,Chubut,6,0,0
389,2018,3,Córdoba,15,0,0
390,2018,3,Corrientes,11,0,0
391,2018,3,Entre Ríos,11,0,0
392,2018,3,Formosa,9,0,0
393,2018,3,Jujuy,8,0,0
394,2018,3,La Pampa,4,0,0
395,2018,3,La Rioja,6,0,0
396,2018,3,Mendoza,6,0,0
397,2018,3,Misiones,12,0,0
398,2018,3,Neuquén,15,0,0
399,2018,3,Río Negro,10,0,0
400,2018,3,Salta,9,0,0
401,2018,3,San Juan,6,0,0
402,2018,3,San Luis,9,0,0
403,2018,3,Santa Cruz,5,0,0
404,2018,3,Santa Fe,12,0,0
405,2018,3,Santiago Del Estero,6,0,0
406,2018,3,Tierra Del Fuego,6,0,0
407,2018,3,Tucumán,15,0,0
408,2018,2,Buenos Aires,15,0,0
409,2018,2,Capital Federal,19,0,0
410,2018,2,Catamarca,8,0,0
411,2018,2,Chaco,12,0,0
412,2018,2,Chubut,5,0,0
413,2018,2,Córdoba,14,0,0
414,2018,2,Corrientes,11,0,0
415,2018,2,Entre Ríos,10,0,0
416,2018,2,Formosa,9,0,0
417,2018,2,Jujuy,6,0,0
418,2018,2,La Pampa,4,0,0
419,2018,2,La Rioja,6,0,0
420,2018,2,Mendoza,6,0,0
421,2018,2,Misiones,12,0,0
422,2018,2,Neuquén,13,0,0
423,2018,2,Río Negro,10,0,0
424,2018,2,Salta,9,0,0
425,2018,2,San Juan,6,0,0
426,2018,2,San Luis,6,0,0
427,2018,2,Santa Cruz,5,0,0
428,2018,2,Santa Fe,12,0,0
429,2018,2,Santiago Del Estero,6,0,0
430,2018,2,Tierra Del Fuego,6,0,0
431,2018,2,Tucumán,14,0,0
432,2018,1,Buenos Aires,14,0,0
433,2018,1,Capital Federal,18,0,0
434,2018,1,Catamarca,8,0,0
435,2018,1,Chaco,12,0,0
436,2018,1,Chubut,5,0,0
437,2018,1,Córdoba,13,0,0
438,2018,1,Corrientes,11,0,0
439,2018,1,Entre Ríos,10,0,0
440,2018,1,Formosa,11,0,0
441,2018,1,Jujuy,7,0,0
442,2018,1,La Pampa,4,0,0
443,2018,1,La Rioja,6,0,0
444,2018,1,Mendoza,6,0,0
445,2018,1,Misiones,12,0,0
446,2018,1,Neuquén,12,0,0
447,2018,1,Río Negro,9,0,0
448,2018,1,Salta,9,0,0
449,2018,1,San Juan,6,0,0
450,2018,1,San Luis,6,0,0
451,2018,1,Santa Cruz,5,0,0
452,2018,1,Santa Fe,11,0,0
453,2018,1,Santiago Del Estero,6,0,0
454,2018,1,Tierra Del Fuego,6,0,0
455,2018,1,Tucumán,9,0,0
456,2017,4,Buenos Aires,13,0,0
457,2017,4,Capital Federal,15,0,0
458,2017,4,Catamarca,8,0,0
459,2017,4,Chaco,12,0,0
460,2017,4,Chubut,5,0,0
461,2017,4,Córdoba,12,0,0
462,2017,4,Corrientes,10,0,0
463,2017,4,Entre Ríos,9,0,0
464,2017,4,Formosa,10,0,0
465,2017,4,Jujuy,7,0,0
466,2017,4,La Pampa,4,0,0
467,2017,4,La Rioja,6,0,0
468,2017,4,Mendoza,6,0,0
469,2017,4,Misiones,11,0,0
470,2017,4,Neuquén,11,0,0
471,2017,4,Río Negro,8,0,0
472,2017,4,Salta,8,0,0
473,2017,4,San Juan,6,0,0
474,2017,4,San Luis,6,0,0
475,2017,4,Santa Cruz,5,0,0
476,2017,4,Santa Fe,10,0,0
477,2017,4,Santiago Del Estero,6,0,0
478,2017,4,Tierra Del Fuego,5,0,0
479,2017,4,Tucumán,9,0,0
