Codigo;Persona
607004;1689
607005;179
607006;165
607007;116
607008;523
607009;70
607010;345
607011;29
607012;122
607701;7069
607702;121
607703;61
607704;1306
607705;10579
607706;227
607707;35
607708;30
607709;187
607710;49
607711;71
607712;104
607713;82
607714;9123
608401;183
608402;88
608403;341
608404;165
608405;144
608406;83
608407;7345
608408;269
608409;4082
608410;83
608411;113
608412;7343
609801;10000
609802;14865
609803;12269
609804;2572
609805;10409
609806;16585
609807;6360
609808;15410
610501;7035
610502;7938
610503;290
610504;402
610505;99
610506;265
610507;119
610508;2665
610509;105
610510;269
610511;3285
610512;161
610513;1777
610514;9780
611201;12122
611202;9620
611203;630
611204;49
611205;529
611206;204
611207;2606
611208;176
611209;329
611210;2498
611211;4139
611212;67
611213;746
611214;7621
611901;212
611902;682
611903;9326
611904;3352
611905;342
611906;182
611907;2671
611908;383
611909;579
611910;8638
612601;11621
612602;11870
612603;8044
612604;5178
612605;19165
612606;2588
612607;12363
612608;5946
612609;16394
612610;1292
613401;8657
613402;9079
613403;10525
613404;1857
613405;577
613406;261
613407;121
613408;491
613409;9618
613410;10706
614001;260
614002;172
614003;13531
614004;367
614005;148
614006;16
614701;7465
614702;708
614703;676
614704;95
614705;1795
614706;511
614707;1142
614708;693
614709;525
614710;353
614711;240
614712;8034
615401;863
615402;3544
615403;178
615404;640
615405;72
615406;5304
615407;164
615408;687
615409;118
616101;11662
616102;139
616103;109
616104;1590
616105;207
616106;574
616107;189
616108;222
616801;151
616802;136
616803;86
616804;79
616805;184
616806;73
616807;44
616808;897
616809;6080
616810;375
616811;100
617501;377
617502;238
617503;52
617504;11298
617505;301
617506;12624
618201;15036
618202;9205
618203;3354
618204;59
618205;2616
618206;7816
618207;7116
618208;63
618209;740
618210;8588
618211;7559
618901;74
618902;50
618903;119
618904;38
618905;56
618906;159
618907;97
618908;49
618909;43
618910;6774
618911;108
618912;991
618913;187
618914;69
618915;2062
618916;75
618917;4874
619601;11645
619602;8197
619603;123
619604;115
619605;58
619606;60
619607;707
619608;136
619609;138
619610;108
619611;200
619612;128
619613;125
619614;74
619615;1119
620301;9883
620302;5217
620303;178
620304;284
620305;212
620306;98
620307;113
620308;9093
620309;92
620310;96
620311;104
620312;120
620313;191
620314;572
620315;118
620316;11949
621001;13698
621002;9182
621003;202
621004;161
621005;349
621006;3034
621007;198
621008;11846
621009;1394
621010;150
621011;47
621012;225
621013;8217
621701;9925
621702;396
621703;741
621704;10517
621705;440
621706;168
621707;50
621708;220
